slang,formal,context,category1,category2,category3
gitu,begitu,Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much,abreviasi,0,0
aja,saja,Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much,zeroisasi,0,0
gemesiin,menggemaskan,Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much,afiksasi,elongasi,0
menyenangkn,menyenangkan,Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much,abreviasi,0,0
rb,ribu,??jilbab segi empat rawis 100rb dapat 5jilbab ? dan segi empat lace 100rb dapat 4jilbab ?,abreviasi,0,0
akau,aku,Awalnya Emang Pusing Ya Sis untuk memilih Mana Distributor yang terbaik aman dan dapat dipercaya waktu temen akau saranin ke@DR.AKBAR.FASHIONHERBALL Eh malah nemuin hasil yang terbaik dari@DR.AKBAR.FASHIONHERBALL ya udah aku tanpa lama lama lagi waktu habis suplementnya aku tambah lagi hihi... langsung aja admin Pin Bbm: D0545049 line:@HRX9934Z pake @ yah..,anaptiksis,0,0
saranin,menyarankan,Awalnya Emang Pusing Ya Sis untuk memilih Mana Distributor yang terbaik aman dan dapat dipercaya waktu temen akau saranin ke@DR.AKBAR.FASHIONHERBALL Eh malah nemuin hasil yang terbaik dari@DR.AKBAR.FASHIONHERBALL ya udah aku tanpa lama lama lagi waktu habis suplementnya aku tambah lagi hihi... langsung aja admin Pin Bbm: D0545049 line:@HRX9934Z pake @ yah..,afiksasi,0,0
nemuin,menemukan,Awalnya Emang Pusing Ya Sis untuk memilih Mana Distributor yang terbaik aman dan dapat dipercaya waktu temen akau saranin ke@DR.AKBAR.FASHIONHERBALL Eh malah nemuin hasil yang terbaik dari@DR.AKBAR.FASHIONHERBALL ya udah aku tanpa lama lama lagi waktu habis suplementnya aku tambah lagi hihi... langsung aja admin Pin Bbm: D0545049 line:@HRX9934Z pake @ yah..,afiksasi,0,0
yah,ya,Awalnya Emang Pusing Ya Sis untuk memilih Mana Distributor yang terbaik aman dan dapat dipercaya waktu temen akau saranin ke@DR.AKBAR.FASHIONHERBALL Eh malah nemuin hasil yang terbaik dari@DR.AKBAR.FASHIONHERBALL ya udah aku tanpa lama lama lagi waktu habis suplementnya aku tambah lagi hihi... langsung aja admin Pin Bbm: D0545049 line:@HRX9934Z pake @ yah..,anaptiksis,0,0
met,selamat,Met ultah kak tulus....,abreviasi,0,0
mnis2nya,manis-manisnya,Ada mnis2nya gtu ?,reduplikasi,abreviasi,0
gtu,begitu,gtu,abreviasi,0,0
tu,itu,Diet pak . dah montok tu . hihi . love 4 voice tulus,zeroisasi,0,0
idolaa,idola,Happy birthday ka @tulusm idolaa bangett???,elongasi,0,0
bangett,banget,Happy birthday ka @tulusm idolaa bangett???,elongasi,0,0
kaakk,kak,"Selamat ulang tahun kaakk, semoga kedepannya makin baaiikkk?? @tulusm maaf telaatt?",elongasi,0,0
baaiikkk,baik,"Selamat ulang tahun kaakk, semoga kedepannya makin baaiikkk?? @tulusm maaf telaatt?",elongasi,0,0
telaatt,telat,"Selamat ulang tahun kaakk, semoga kedepannya makin baaiikkk?? @tulusm maaf telaatt?",elongasi,0,0
kaak,kak,"selamat ulang tahun kaak, sukses selalu.. @tulusm",elongasi,0,0
yg,yang,Hey kalian mau tau produk herbal peninggi badan yg lg top sekarang ? cari tau skarang juga follow ig@montirherbal dan INVITE PIN : D098054A,abreviasi,0,0
lg,lagi,Hey kalian mau tau produk herbal peninggi badan yg lg top sekarang ? cari tau skarang juga follow ig@montirherbal dan INVITE PIN : D098054A,abreviasi,0,0
skarang,sekarang,Hey kalian mau tau produk herbal peninggi badan yg lg top sekarang ? cari tau skarang juga follow ig@montirherbal dan INVITE PIN : D098054A,zeroisasi,0,0
yg,yang,"Bagus banget produk yg aku beli di@DR.HAFIDZ_HEALTYCARE , saya jadi malu, soalnya dulu saya sempet DC bbm nya karna ngga percaya. Terus saya invite lagi karna penasaran, tp setelah saya coba hasilnya mantep, badanku turun 9kg dan kulit ku jadi putih alami :)",abreviasi,0,0
sempet,sempat,"Bagus banget produk yg aku beli di@DR.HAFIDZ_HEALTYCARE , saya jadi malu, soalnya dulu saya sempet DC bbm nya karna ngga percaya. Terus saya invite lagi karna penasaran, tp setelah saya coba hasilnya mantep, badanku turun 9kg dan kulit ku jadi putih alami :)",modifikasi vokal,0,0
karna,karena,"Bagus banget produk yg aku beli di@DR.HAFIDZ_HEALTYCARE , saya jadi malu, soalnya dulu saya sempet DC bbm nya karna ngga percaya. Terus saya invite lagi karna penasaran, tp setelah saya coba hasilnya mantep, badanku turun 9kg dan kulit ku jadi putih alami :)",zeroisasi,0,0
ngga,enggak,"Bagus banget produk yg aku beli di@DR.HAFIDZ_HEALTYCARE , saya jadi malu, soalnya dulu saya sempet DC bbm nya karna ngga percaya. Terus saya invite lagi karna penasaran, tp setelah saya coba hasilnya mantep, badanku turun 9kg dan kulit ku jadi putih alami :)",zeroisasi,0,0
karna,karena,"Bagus banget produk yg aku beli di@DR.HAFIDZ_HEALTYCARE , saya jadi malu, soalnya dulu saya sempet DC bbm nya karna ngga percaya. Terus saya invite lagi karna penasaran, tp setelah saya coba hasilnya mantep, badanku turun 9kg dan kulit ku jadi putih alami :)",zeroisasi,0,0
mantep,mantap,"Bagus banget produk yg aku beli di@DR.HAFIDZ_HEALTYCARE , saya jadi malu, soalnya dulu saya sempet DC bbm nya karna ngga percaya. Terus saya invite lagi karna penasaran, tp setelah saya coba hasilnya mantep, badanku turun 9kg dan kulit ku jadi putih alami :)",modifikasi vokal,0,0
loohhh,loh,@zain.harun menurut loohhh haahhahaa ganteng yeee ????,elongasi,0,0
yeee,ya,@zain.harun menurut loohhh haahhahaa ganteng yeee ????,elongasi,modifikasi vokal,0
baguuuuus,bagus,Baguuuuus banget....,elongasi,0,0
sampe,sampai,"Keren bor, sampe ngikutin gayany hahaha",monoftongisasi,0,0
ngikutin,mengikuti,"Keren bor, sampe ngikutin gayany hahaha",afiksasi,0,0
gayany,gayanya,"Keren bor, sampe ngikutin gayany hahaha",abreviasi,0,0
ngikutin,mengikuti,Sering ngikutin gaya nya lg nyanyi,afiksasi,0,0
lg,lagi,Sering ngikutin gaya nya lg nyanyi,abreviasi,0,0
bnk,bang,TOP bnk ariel... gaya g,abreviasi,subtitusi,homofon
awaas,awas,Minta rokok ny dong awaas to kena jari...,elongasi,0,0
siip,sip,Siip bang ariel,elongasi,0,0
abizzzz,habis,Aaaaaa....suaranya keren abizzzz kak ariel....kerrrrennnn...alwayz support you,elongasi,subtitusi,zeroisasi
kerrrrennnn,keren,Aaaaaa....suaranya keren abizzzz kak ariel....kerrrrennnn...alwayz support you,elongasi,0,0
sayaa,saya,kayak pacar sayaa wendel's ?,elongasi,0,0
pengen,pengin,Pengen duet Tapi kapan?,modifikasi vokal,0,0
kpan,kapan,Noah kpan kemedan?,abreviasi,0,0
bgt,banget,"Jauh bgt geo sma boriel, mirip suaranya sdkit paling ya",abreviasi,0,0
sma,sama,"Jauh bgt geo sma boriel, mirip suaranya sdkit paling ya",abreviasi,0,0
sdkit,sedikit,"Jauh bgt geo sma boriel, mirip suaranya sdkit paling ya",abreviasi,0,0
bngt,banget,Ku suka bngt lgu nya,abreviasi,0,0
lgu,lagu,Ku suka bngt lgu nya,abreviasi,0,0
bener2,benar-benar,@ariel_nazril_irham bener2 kharismanya harga mati..!! Senyumnya...nyengirnya...gayanya pas di panggung...,reduplikasi,modifikasi vokal,0
kharismanya,karismanya,@ariel_nazril_irham bener2 kharismanya harga mati..!! Senyumnya...nyengirnya...gayanya pas di panggung...,anaptiksis,0,0
aq,aku,Lagu kesukaan aq banget @ariel_nazril_irham,abreviasi,homofon,0
yg,yang,Kalau suara nya pada mirip  apa nya yg jdi istimewa lgi,abreviasi,0,0
jdi,jadi,Kalau suara nya pada mirip  apa nya yg jdi istimewa lgi,abreviasi,0,0
lgi,lagi,Kalau suara nya pada mirip  apa nya yg jdi istimewa lgi,abreviasi,0,0
gk,enggak,Keren gk no @mutiaranovashadiqah,abreviasi,0,0
kek,kayak,Kek gua hahahaha @mutiaranovashadiqah,abreviasi,modifikasi vokal,0
lgunya,lagunya,Ini judul lgunya apa ya??,abreviasi,0,0
kpan,kapan,Kak Kpan Konser Di Surabaya,abreviasi,0,0
kereeeeennnn,keren,Kereeeeennnn boriel,elongasi,0,0
nyamain,menyamakan,@ariel_nazril_irham tidak ada yg bisa nyamain . Mentok,afiksasi,0,0
slalu,selalu,Rokok slalu membuat ariel semakin lakik,zeroisasi,0,0
lakik,laki,Rokok slalu membuat ariel semakin lakik,anaptiksis,0,0
siippp,sip,Siippp siippp,elongasi,0,0
bkn,bukan,Iya bener itu di korea bkn,abreviasi,0,0
nyangka,menyangka,Aku ga nyangka itu korea,afiksasi,0,0
bangettt,banget,Indah bangettt ???,elongasi,0,0
kereeen,keren,Kereeen banget ?,elongasi,0,0
wihhhhhh,wih,Wihhhhhh...,elongasi,0,0
tp,tapi,"Keren!? tp jadi inget nya lirik lagu ini ""we can't stop stop stop yeogin PARTY time..."" #SNSD",abreviasi,0,0
inget,ingat,"Keren!? tp jadi inget nya lirik lagu ini ""we can't stop stop stop yeogin PARTY time..."" #SNSD",modifikasi vokal,0,0
bingitsss,banget,Snsd bingitsss,modifikasi vokal,elongasi,0
dmn,dimana,Dmn itu air nya bird bgt,abreviasi,0,0
bird,biru,Dmn itu air nya bird bgt,salah ketik,0,0
kaloo,kalo,Kaloo Kelewat Gimna Tuuh,elongasi,0,0
gimna,bagaimana,Kaloo Kelewat Gimna Tuuh,abreviasi,0,0
tuuh,tuh,Kaloo Kelewat Gimna Tuuh,elongasi,0,0
nyebur,mencebur,Kalo kelewat ya nyebur,afiksasi,0,0
yng,yang,Itu kn laut atau kolam renang yng dbuat syuting nya snsd ya kn kak,abreviasi,0,0
dbuat,dibuat,Itu kn laut atau kolam renang yng dbuat syuting nya snsd ya kn kak,abreviasi,0,0
kn,kan,Itu kn laut atau kolam renang yng dbuat syuting nya snsd ya kn kak,abreviasi,0,0
org,orang,"Mana mungkin shot di bali, rame org",abreviasi,0,0
pingin,pengin,@afahalwa pingin aku,modifikasi vokal,0,0
bgt,banget,Mau bgt kagitu @jusinidelashlifah,abreviasi,0,0
tu,itu,Dimana tu ka,zeroisasi,0,0
bangcat,bangsat,Ko bangcat yha :') @bilavkcb,subtitusi,0,0
yha,ya,Ko bangcat yha :') @bilavkcb,anaptiksis,0,0
waoohhh,wah,"Waoohhh indah nya,jdi pngn ke tmpt itu dhe",elongasi,anaptiksis,0
pngn,pengin,"Waoohhh indah nya,jdi pngn ke tmpt itu dhe",abreviasi,0,0
tmpt,tempat,"Waoohhh indah nya,jdi pngn ke tmpt itu dhe",abreviasi,0,0
dhe,deh,"Waoohhh indah nya,jdi pngn ke tmpt itu dhe",homofon,0,0
indahhh,indah,Indahhh bgttt di mana tuhh,elongasi,0,0
bgttt,banget,Indahhh bgttt di mana tuhh,abreviasi,elongasi,0
tuhh,tuh,Indahhh bgttt di mana tuhh,elongasi,0,0
berarto,berarti,Lh-lho berarto snsd ke indo? @bethaniamaureen,salah ketik,0,0
ga,enggak,"ga cell itu sg ndk bali, sg py e snsd ternyata ndk thailand namae lek ga salah koh samui island",abreviasi,zeroisasi,0
aminn,amin,Aminn,elongasi,0,0
aamiin,amin,Aamiin,elongasi,0,0
amiiinn,amin,Amiiinn,elongasi,0,0
dgn,dengan,"Di antara 77 korban AIRASIA yg warga Surabaya, 6 orang ( 5 dewasa, 1 anak SD, dalam 1 keluarga) adalah tetangga saya, Semoga arwah mereka semua diterima dgn baik di sisi Tuhan,, Amin",abreviasi,0,0
aminnnn2,amin-amin,Aminnnn2 @fendi_dbonno9414,elongasi,reduplikasi,0
amiin,amin,Amiin ya robbal alamin,elongasi,0,0
aamiin,amin,Aamiin..,elongasi,0,0
amiiiin,amin,Amiiiin ya robal alamin.,elongasi,0,0
amiin,amin,Amiin,elongasi,0,0
aminnn,amin,Aminnn,elongasi,0,0
amiend,amien,Amiend ya Allah,anaptiksis,0,0
yaaa,ya,@isafitriani @nisaayuasmara @unie_emilia @nabilanatasya9 @sasmirayanti mau kalung murah & cantik? cek ig kita yaaa??,elongasi,0,0
ameen,amin,Ameen,modifikasi vokal,elongasi,0
aminnnn,amin,Aminnnn,elongasi,0,0
amiiinnn,amin,Amiiinnn,elongasi,0,0
kek,kayak,yang kek perut aku ya??? @mfahmifachrudin,abreviasi,modifikasi vokal,0
ngomong,mengomong,@fawwaz_said.11 lu ngomong jorok kagak inget dosa?,afiksasi,0,0
inget,ingat,@fawwaz_said.11 lu ngomong jorok kagak inget dosa?,modifikasi vokal,0,0
mamer,memamerkan,Lo mamer aurat lebih dosa keles,afiksasi,0,0
keles,kali,Lo mamer aurat lebih dosa keles,coinage,0,0
jelase,jelas,Iki lebih jelase @oktaviajr,anaptiksis,0,0
liat,lihat,Liat loh uwakk @graciags,zeroisasi,0,0
uwakk,uwak,Liat loh uwakk @graciags,elongasi,0,0
ntar,entar,@virakysh ntar kita bs gini,zeroisasi,0,0
bs,bisa,@virakysh ntar kita bs gini,abreviasi,0,0
gini,begini,@virakysh ntar kita bs gini,abreviasi,0,0
jgn,jangan,@xocacola adek jgn sampe masuk angin yaa ?,abreviasi,0,0
sampe,sampai,@xocacola adek jgn sampe masuk angin yaa ?,monoftongisasi,0,0
aq,aku,@xocacola adek jgn sampe masuk angin yaa ?,abreviasi,homofon,0
salfok,salah fokus,Salfok:v @fad.fdh @auliyya_naural,akronim,0,0
njir,anjir,Njir pink haha @standy.gigih,zeroisasi,0,0
piiink,pink,Piiink,elongasi,0,0
astgfrullah,astagfirullah,astgfrullah?,abreviasi,0,0
ko,kok,Aneh ko cd di perlihatkan,zeroisasi,0,0
cd,celana dalam,Aneh ko cd di perlihatkan,akronim,0,0
gbs,enggak bisa,Gbs bhs inggris ?,akronim,abreviasi,0
bhs,bahasa,Gbs bhs inggris ?,abreviasi,0,0
yaaaaaa,ya,Cantiknya Yaaaaaa,elongasi,0,0
gak,enggak,Gak maksud,zeroisasi,0,0
bangshad,bangsat,Bangshad @salisaokta,anaptiksis,subtitusi,homofon
yaa,ya,Selow lagi proses yaa? @geareani08,elongasi,0,0
stagahhhh,astaga,Kakinya stagahhhh,anaptiksis,elongasi,zeroisasi
kpn,kapan,"Dinda otw,kon kpn @sakinaabsyn12",abreviasi,0,0
iooo,lo,Iooo? dy kw d mslh laeng in kong qt jdi plampiasannn?? @juvinkainka,salah ketik,elongasi,0
dy,dia,Iooo? dy kw d mslh laeng in kong qt jdi plampiasannn?? @juvinkainka,homofon,0,0
d,ada,Iooo? dy kw d mslh laeng in kong qt jdi plampiasannn?? @juvinkainka,abreviasi,0,0
mslh,masalah,Iooo? dy kw d mslh laeng in kong qt jdi plampiasannn?? @juvinkainka,abreviasi,0,0
qt,kita,Iooo? dy kw d mslh laeng in kong qt jdi plampiasannn?? @juvinkainka,abreviasi,homofon,0
jdi,jadi,Iooo? dy kw d mslh laeng in kong qt jdi plampiasannn?? @juvinkainka,abreviasi,0,0
plampiasannn,pelampiasan,Iooo? dy kw d mslh laeng in kong qt jdi plampiasannn?? @juvinkainka,elongasi,zeroisasi,0
masalahh,masalah,"Masalahh opo tohh? ,,fhebyy inghinn dhi mengherthii @fabiolaamj",elongasi,0,0
tohh,toh,"Masalahh opo tohh? ,,fhebyy inghinn dhi mengherthii @fabiolaamj",elongasi,0,0
inghinn,ingin,"Masalahh opo tohh? ,,fhebyy inghinn dhi mengherthii @fabiolaamj",elongasi,anaptiksis,0
dhi,di,"Masalahh opo tohh? ,,fhebyy inghinn dhi mengherthii @fabiolaamj",anaptiksis,0,0
mengherthii,mengerti,"Masalahh opo tohh? ,,fhebyy inghinn dhi mengherthii @fabiolaamj",anaptiksis,elongasi,0
yanckh,yang,Febhi yanckh chelalyyu therchakitty @juvinkainka,anaptiksis,0,0
chelalyyu,selalu,Febhi yanckh chelalyyu therchakitty @juvinkainka,anaptiksis,subtitusi,0
therchakitty,tersakiti,Febhi yanckh chelalyyu therchakitty @juvinkainka,anaptiksis,subtitusi,homofon
mauuuuu,mau,Ini yang gua mauuuuu ?? @raquellyndaf @nisaaxs,elongasi,0,0
kaliii,kali,Mau gtu juga kaliii @damanikyoga,elongasi,0,0
bangat,banget,Bangat ? @nadyaronhaziza,modifikasi vokal,0,0
bkin,bikin,Kak bkin video mail time bareng kak cassy dongg,abreviasi,0,0
dongg,dong,Kak bkin video mail time bareng kak cassy dongg,elongasi,0,0
yokkk,yuk,Yokkk buat @salsa_nafita @ersakusumara,elongasi,modifikasi vokal,0
gini,begini,Gini yu ma wkk @nurrachmaniahm,abreviasi,0,0
yu,yuk,Gini yu ma wkk @nurrachmaniahm,zeroisasi,0,0
sweger,segar,Sweger @irfaul.izzi,anaptiksis,modifikasi vokal,0
kereeen,keren,@hokyintan kereeen,elongasi,0,0
gantengg,ganteng,"@sabithanurul24 @nadia_evelyn09 gantengg banget,pengen!",elongasi,0,0
bingiit,banget,cocok.bingiit deh sama baby,modifikasi vokal,elongasi,0
gak,enggak,gak mau kebukaaa @intansetyawatii,zeroisasi,0,0
kebukaaa,terbuka,gak mau kebukaaa @intansetyawatii,afiksasi,elongasi,0
tpi,tapi,"Mirip, memang. Tpi MENURUT PANDANGAN SAYA tetap cantikan  Ary ... wajah Ary / @arianagrande cantik, manis, juga imut. apalagi kala dia ketawa ada lesung pipit nya... kalau @claurakiehl cantik, cuman MENURUT SAYA tulang pipi nya terlalu keliatan, jadi kesannya tua...",abreviasi,0,0
keliatan,kelihatan,"Mirip, memang. Tpi MENURUT PANDANGAN SAYA tetap cantikan  Ary ... wajah Ary / @arianagrande cantik, manis, juga imut. apalagi kala dia ketawa ada lesung pipit nya... kalau @claurakiehl cantik, cuman MENURUT SAYA tulang pipi nya terlalu keliatan, jadi kesannya tua...",zeroisasi,0,0
yakk,ya,Ini Ariana apa cincha loowrrr ????? Miripp banget yakk ??,anaptiksis,elongasi,0
kayakk,kayak,Kayakk ariana asliii,elongasi,0,0
asliii,asli,Kayakk ariana asliii,elongasi,0,0
kyk,kayak,Kyk ariana grande..cntiknya,abreviasi,0,0
cntiknya,cantiknya,Kyk ariana grande..cntiknya,abreviasi,0,0
bat,banget,Mirip bat @arianagrande,abreviasi,0,0
ga,enggak,"cinta Mirip Ariana Grande,,,Cantik ga bosan Ngeliatnya,,,Sehat sll.cinta",abreviasi,zeroisasi,0
ngeliatnya,melihatnya,"cinta Mirip Ariana Grande,,,Cantik ga bosan Ngeliatnya,,,Sehat sll.cinta",afiksasi,0,0
sll,selalu,"cinta Mirip Ariana Grande,,,Cantik ga bosan Ngeliatnya,,,Sehat sll.cinta",abreviasi,0,0
bet,banget,Ariana grande bet njerr @rmutiaram,abreviasi,0,0
njerr,anjir,Ariana grande bet njerr @rmutiaram,zeroisasi,modifikasi vokal,0
bingiiittttzzzz,banget,Arianaaa bingiiittttzzzz......,elongasi,modifikasi vokal,anaptiksis
bgt,banget,Mirip @arianagrande bgt!!!! ??,abreviasi,0,0
k,kak,K Cinta mirip ariana grande klo lg kaya gini..,abreviasi,0,0
klo,kalo,K Cinta mirip ariana grande klo lg kaya gini..,zeroisasi,0,0
lg,lagi,K Cinta mirip ariana grande klo lg kaya gini..,abreviasi,0,0
dooong,dong,Selfie bareng @arianagrande dooong,elongasi,0,0
masi,masih,Masi cantikan @claurakiehl  daripada ari.. ari is toooooo cute i think...,zeroisasi,0,0
gni,begini,Sis @ridhanisabrina wisudamu kaya gni aja simple,abreviasi,0,0
kek,kayak,Jilbabnya kek gini aja @andinadarsono,abreviasi,modifikasi vokal,0
gini,begini,Jilbabnya kek gini aja @andinadarsono,abreviasi,0,0
aja,saja,Jilbabnya kek gini aja @andinadarsono,zeroisasi,0,0
udah,sudah,Aku udah ngescreenshot ini lama bgt padahal wkwk @ayichanja,zeroisasi,0,0
hdk,hendak,Hdk yg simple kyne z @fvtrisna,abreviasi,0,0
yg,yang,Hdk yg simple kyne z @fvtrisna,abreviasi,0,0
jugaa,juga,Itu simple banget kebayane jugaa wkwk @ridhanisabrina,elongasi,0,0
mksud,maksud,Mksud x jilbab n makeup x simple.. Cuma 1 aj ka.. Dia cantik gue kagak.. Sesimpel itu ? @fvtrisna,abreviasi,0,0
aj,saja,Mksud x jilbab n makeup x simple.. Cuma 1 aj ka.. Dia cantik gue kagak.. Sesimpel itu ? @fvtrisna,abreviasi,0,0
tetep,tetap,"Tetep call saya mah, tp ya itu mbakx senatural n simpel itu aja syantik, la kite @una_wardhani hahahhaa",modifikasi vokal,0,0
tp,tapi,"Tetep call saya mah, tp ya itu mbakx senatural n simpel itu aja syantik, la kite @una_wardhani hahahhaa",abreviasi,0,0
mbakx,mbaknya,"Tetep call saya mah, tp ya itu mbakx senatural n simpel itu aja syantik, la kite @una_wardhani hahahhaa",word-value letter,0,0
syantik,cantik,"Tetep call saya mah, tp ya itu mbakx senatural n simpel itu aja syantik, la kite @una_wardhani hahahhaa",subtitusi,anaptiksis,0
syantik,cantik,"Tetep call saya mah, tp ya itu mbakx senatural n simpel itu aja syantik, la kite @una_wardhani hahahhaa",subtitusi,anaptiksis,0
kite,kita,"Tetep call saya mah, tp ya itu mbakx senatural n simpel itu aja syantik, la kite @una_wardhani hahahhaa",modifikasi vokal,0,0
pa,apa,Pa kabar bu?? ??? @fvtrisna,zeroisasi,0,0
mksd,maksud,"Apa mksd mengirimi foto ini, kyne kah kena model seragam kami @ana_rrr29 @rocky_lin",abreviasi,0,0
bejilbbnya,berjilbabnya,Kd hahaaa... bagus sederhana bejilbbnya kytu aja te @vithapriani @rocky_lin,abreviasi,0,0
masio,masih,Lek selebgram kok mesti apik apik ae yo lek masio simple jilbab e @shovamardia,salah ketik,0,0
yahhh,ya,Iya yahhh @anifatasha,anaptiksis,elongasi,0
makasih,terima kasih,Beb... aku mau make up se soft ini aja ya @syaekaokt makasih banyak beb,akronim,0,0
leh,boleh,@phebybahar leh ugaaa.. warna nya putih tulang + merah maroon yaa? atau silver + item?,abreviasi,0,0
ugaaa,juga,@phebybahar leh ugaaa.. warna nya putih tulang + merah maroon yaa? atau silver + item?,abreviasi,elongasi,0
yah,ya,@vaaaasola8 yah mending putih tulang + maroon,anaptiksis,0,0
jerewi,jerawat,ini boleh jg ya? @dyzkafadela oke jerewi nanti ilang haha,coinage,0,0
ilang,hilang,ini boleh jg ya? @dyzkafadela oke jerewi nanti ilang haha,zeroisasi,0,0
jilbabnyaah,jilbabnya,Ntih ini yg opi bilang model jilbabnyaah tadi @rabiahidayantiarnan @megaiskanti @mutiaapriyeni @rozaliafransisca,anaptiksis,elongasi,0
kek,kayak,"Ya piiik, kek gini aja dah cantik,. @novitaresti @rozaliafransisca @mutiaapriyeni",abreviasi,modifikasi vokal,0
yuuuk,yuk,Cek ig kami yuuuk banyak hijab cantik berbagai warnaaa ? dengan kualitas oke punyaaa ??,elongasi,0,0
warnaaa,warna,Cek ig kami yuuuk banyak hijab cantik berbagai warnaaa ? dengan kualitas oke punyaaa ??,elongasi,0,0
punyaaa,punya,Cek ig kami yuuuk banyak hijab cantik berbagai warnaaa ? dengan kualitas oke punyaaa ??,elongasi,0,0
cantiik,cantik,Cantiik,elongasi,0,0
sukaaak,suka,Sukaaak kebayanyaaa dan mua nya @tlatifaah :33,elongasi,anaptiksis,0
kebayanyaa,kebayanya,Sukaaak kebayanyaaa dan mua nya @tlatifaah :33,elongasi,0,0
mantes,memantas,Mantes di kamu euy potongan kitu mah @tlatifaah  mun aku mah katinggali lemakna mereeen wkwkwk,afiksasi,0,0
merekaaaa,mereka,Lucu merekaaaa @odywoody,elongasi,0,0
